$	dollar[s] ドル記号(通貨単位)
legislate	法律を制定する;(…を)法律で禁止する《+『against』+『名』(do『ing』)》 / …‘を'立法する
legislation	『立法』,法律制定 / 《集合的に》(制定された)『法律』
legislative	立法の,立法権のある
legislator	法律制定者,立法者 / 立法府(国会・州議会)議員
legislature	《the ~》立法府,立法機関 / 《米》州議会
legit	=legitimate
legitimacy	合法,適法,正当 / 正統,正系,嫡出(ちゃくしゅつ)
legitimate	(要求・目的などが)『合法的な』,法律の認める / (議論などが)『論理的な』,筋道の立った / (支出・苦情などが)正当な,もっともな / (生まれが)適法な婚姻から生じた,嫡出(ちゃくしゅつ)の / 正統の / …‘を'合法化する / 〈子供〉‘を'嫡出子とする
legitimatize,legitimatise	=legitimate
legitimize,legitimise	=legitimate
legman	外交員,外回り / 取材記者
legroom	(自動車などの座席で)足を楽にのばせる空間
legume	マメ科植物の総称(特に食用・飼料用) / 豆のさや
leguminous	マメの,マメ科の
legwork	足を使った詳しい調査,取材
lei	レイ(ハワイで首にかける花輪) / leu(ルーマニアの貨幣単位)の複数形
Leipzig	ライプチヒ(東ドイツ南部の都市)
leisure	『暇』,余暇;(仕事をしなくてもよい)自由な時間 / 仕事をする必要がないこと / 暇な,有閑な
leisured	暇のある,有閑の;ゆっくりした
leisurely	ゆっくりした, 気の長い / ゆるゆる, ゆっくり, 悠長に
leitmotif, leitmotiv	(音楽の)主楽想 / (一般)主題
lek	レク(アルバニアの貨幣単位)
LEM	lunar excursion module 月着陸船
lemming	レミング(ネズミに似た尾の短い動物)
lemon	〈C〉;レモン;レモンの木 / 〈U〉レモン色(lemon yellow) / 〈C〉《米》無価値な物;商品、製品などの「はずれ」・不良商品・欠陥商品・《英俗》だめな人,魅力のない物(人) / レモンの(入りの,色の)
lemon curd	レモンカード(レモンジュース・卵・バターをまぜて作ったもの;パンにつける)
lemon sole	ヒラメ,カレイ
lemon squash	レモンスカッシュ(レモンの汁にソーダ水を加えた飲料)
lemonade	《米》レモン水,レモネード(レモンの汁に水と砂糖を加えた飲料) / 《英》レモン[ライム]ソーダ
lempira	レンピラ(ホンジュラスの貨幣単位)
lemur	キツネザル(マダガスカル島産のキツネに似た夜行性動物)
lend	〈金・金〉‘を'『貸す』 / (…に)〈援助〉‘を'与える,〈魅力など〉‘を'添える《+『名』+『to』+『名』》 / 金を貸す,融資する
lend lease	武器貸与(特に,第二次世界大戦中に米国が同盟国に対して行った)
lender	貸す人
lending library	=circulating library
length	〈U〉〈C〉(空間・時間の)『長さ』 / 〈U〉〈C〉長いこと,長い状態 / 〈C〉単位となる長さ;(競馬・競艇の)1馬身,1艇身 / 〈C〉ある長さの物(部分)
lengthen	…‘を'『長くする』 / 長くなる
lengthily	長々と,くどくどと
lengthways	=lengthwise
lengthwise	長い;縦の / 長く;縦に
lengthy	非常に長い / (話・文章などが)長すぎる,くどい
leniency	寛大,慈悲
lenient	寛大な,哀れみ深い,情け深い
Lenin	レーニン(『Vladimir Ilyich』~;1870‐1924;ロシア革命の指導者)
Leningrad	レニングラード(ロシア北西部の都市;ロシア帝国の首都であった)
lenitive	(薬などが)緩和性の,鎮痛性の
lenity	慈悲,寛容
lens	『レンズ』 / (目の)水晶体
lent	lendの過去・過去分詞
Lent	四旬節(キリスト教で,Ash Wednesdayに始まり,日曜を除いてEasterまで続く40日間;この期間に断食と悔い改めを行う)
Lent term	(英国の大学の)春学期
Lenten	四旬節(Lent)の
lentil	ヒラマメ,レンズマメ(平たい両凸レンズ状の種子を持つ;食用) / ヒラマメ(レンズマメ)の木
lento	(音楽が)おそい,ゆっくりした / ゆっくりと[演奏して]
Leo	獅子(しし)座 / (占星術で)獅子宮
Leonardo da Vinci	レオナルドダビンチ(1452‐1519;イタリアの画家・科学者)
leonine	ライオンの(のような)
leopard	ヒョウ
leopardess	雌ヒョウ
leotard	レオタード(軽業師・ダンサーが着用する体にぴったりした服)
leper	ハンセン病患者,らい病患者 / ハンセン病患者の
leprechaun	(アイルランド民話で)小妖精,小人
leprosy	ハンセン病,らい病
leprous	ハンセン病(らい病)にかかった;ハンセン病の,らい病の
lesbian	(女性間の)同性愛の / レズビアン,同性愛の女
lesbianism	(女性間の)同性愛
lese majesty	不敬罪,大逆罪 / 《話》(重要な人物に対する)冒瀆(ぼうとく)
lesion	傷害,傷 / (体の組織や機能の)障害
Lesotho	レソト(アフリカ南部の王国;もと英国領)
less	(量が)(…より)『もっと少ない』,いっそう少ない;(大きさ・価値・程度などが)(…より)『もっと少ない』,さらに劣る,もっと低い《+『than』…》 / もっと少なく,…ほどでなく《+『than…』》 / 《形容詞・副詞の劣勢の意の比較級を作るのに用いて》…ほど…でない《+『than…』》 / さらに少ない数(量) / …だけ足りない,を引いた
lessee	借地人,借家人
lessen	…‘を'『少なくする』,小さくする,減らす / 『少なくなる』,小さくなる,減る
lesser	『いっそう小さい(少ない,重要でない)』,より劣った
lesson	《しばしば複数形で》『授業』,けいこ / (教科書などの)『課』 / 《複数形で》(授業に伴う)勉強 / 『教訓』,教え,戒め / (礼拝の時に読む)聖書の一節
lessor	貸主;地主,家主, 賃貸人
lest	…『しないように』,するといけないから / 《fear,danger,afraidなど恐れ・危険を表す動詞・名詞・形容詞の後に用いて》…『ではないかと』(that),という[ことを]
let	〈人・動物など〉‘に'(…)『させる』,させておく,‘を'(…する)ままにしておく(受動態にできない) / 〈物事〉‘を'(…する)状態にする,‘に'(…)させる / 《『let us(let's)』do》…『しよう』 / 《おもに英》〈土地・家など〉‘を'『貸す』,賃貸する(《米》rent) / (人に)〈工事〉‘を'請け負わせる《+『名』+『to』+『名』》 / (…から)〈液体・空気など〉‘を'出す,漏らす,放出する《+『名』+『out of』+『名』》 / レット(テニスやバレーボールなどで,ネットに触れたためにもう一度やり直さなければならないサービスのこと) / 《文》妨害,障害
let's	let usの短縮形
letdown	失望,幻滅 / (速力・力などの)減少,減退
lethal	死をもたらす,致死の;死をもたらす目的の
lethargic	昏睡[状態]の;無気力の,無感動の,不活発の / 眠気を催させる
lethargy	昏睡[状態];無気力,無感動,不活発
letter	〈C〉『文字』,字 / 〈C〉『手紙』 / 〈C〉(人に特典・権利などを認める)公式の書状 / 〈U〉《the~》(精神・内容に対して)文字通りの意味,字句,字義 / 〈C〉(優秀な運動選手などがつけることを許される)学校のイニシャル / 《複数形で》《単数・複数扱い》文学,学問 / ‘に'文字を書き入る,レタリングをする
letter bomb	郵便爆弾(郵便物の中に仕掛けた爆弾)
letter carrier	郵便配達人
letter-perfect	細部にいたるまで正確な
letterbox	=mailbox
lettered	《文》教育のある / 文学の素養のある / 文字入りの
letterer	レタリング専門家
letterhead	レターヘッド(便せんの上部に印刷した発信者の住所・氏名など) / レターヘッドのついた便せん
lettering	レタリング(デザイン風)文字を書く(刻む)技術 / 書かれた文字,刻まれた文字
letterpress	〈U〉凸版印刷[物] / 〈C〉《おもに英》(さし絵以外の)本文
letters patent	《複数形》特許,特許状
letting	貸家,貸しアパート
lettuce	レタス,チシャ
letup	(力・強度などの)ゆるみ,減少 / (仕事などの)休止,停止
leu	レウ(ルーマニアの貨幣単位)
leucocyte,leukocyte	=white blood cell
leucotomy	=lobotomy
leukemia	白血病
Levant	レバント(地中海東部の沿岸地方;特にその地方の諸国)
Levantine	レバント地方の人 / レバント地方の
levee	(洪水を防ぐための川の)堤防,土手 / (川の)船着き場
level	(土地などが)『平らな』,水平な,凸凹のない / 『同じ高さ(程度)の』 / 《話》精神状態がよくつり合いのとれた,分別のある / 〈U〉〈C〉(地位・程度などの一般的な)『標準』,『水準』,レベル / 〈C〉(高さ・深さの基準となる)『水平面』,水平線 / 〈C〉〈U〉(ある物と比べたときの)『高さ』,深さ / 〈C〉(建物の)階,層 / 〈C〉《おもに米》水準器(《英》spirit level) / 〈物の表面〉‘を'『平らにする』 / 〈木・家など〉‘を'倒す / 〈地位・程度など〉‘を'一様にする,平均する / 《『level』+『名』+『at』+『名』》(目標に)〈銃など〉の水準器を合わせる / 《『level』+『名』+『at』(『against』)+『名』〈人〉》(人に)〈非難など〉‘を'浴びせる / 水平に,平らに
level crossing	=grade crossing
levelheaded	良識ある,分別ある,冷静な
lever	てこ,レバー / ‘を'てこを使って動かす
leverage	てこの作用(力) / てこ入れ,影響力
leveret	小ウサギ
leviathan	巨大な海の怪物(旧約聖書「ヨブ記」に出てくる怪物) / 巨大な物(船・鯨など)
levitate	(超自然力によって)空中に浮かぶ / (超自然力によって)…‘を'空中に浮かばせる
Levite	レビ(レビ族の祖;旧約聖書「創世記」) / レビ族の人,レビ人(ユダヤの神殿で祭司の補佐を務めた者)
Leviticus	レビ記(旧約聖書中の一書)
levity	(態度の)軽率さ・不まじめ
levodopa	=L-dopa
levy	(…に)〈税金など〉‘を'強制的に課する《+『名』+『on』(『upon』)+『名』》;〈税金など〉‘を'取り立てる / 《文》(…に対して)〈戦争〉‘を'始める《+『upon』(『against』)+『名』》 / (税金などの)強制課税(取り立て);(兵士の)召集 / 取り立てた税金;召集兵,召集軍隊
lewd	みだらな・わいせつな・好色の
lexical	単語の・語いの / 辞書の
lexicographer	辞書の執筆者(編集者)
lexicography	辞書の執筆(編集)
lexicon	辞書(特にギリシア語・ヘブライ語・ラテン語などの古典語辞典)　(特定分野の)語彙用語集　語彙目録
Lexington	レキシントン(米国Massachusetts州東部の町;米国独立戦争の最初の戦いが行われた場所)
lexis	(特定の言語・分野・個人の)総語彙
LF	low frequency
LG	Low German
lg.	large / long
Li	lithiumの化学記号
liability	〈U〉(…の)傾向のあること《+『to』+『名』》 / 〈U〉(特に債務などに対する)責任・義務 / 〈C〉不利な点,ハンディキャップ / 〈C〉《複数形で》《単数扱い》負債
liable	(法律的に)責任(義務)のある / 《『be liable to』+『名』》(病気などに)『かかりやすい』 / 《『be liable to』 do》(性質・習慣などにより)…しがちである,しやすい;《話》…しそうな,たぶん…する
liaise	(おもに軍隊・企業で)(…と)連絡をつける(保つ)《+『with』+『名』》
liaison	〈U〉連絡 / 〈C〉リエゾン(フランス語などで語尾の子音を次の音頭の母音に連絡して発音すること) / 〈C〉(男女間の)密通,私通
liana	(熱帯の)つる植物,つる
liar	『うそつき』
lib	(…)解放(liberation)
Lib	Liberal Party
libation	(古代ギリシア・ローマにおいて)神にぶどう酒をささげること / ぶどう酒,アルコール類
libber	解放運動家
libel	〈U〉〈C〉(文書・絵などによる)名誉毀損罪 / 〈C〉(…に対して)名誉毀損となるもの;(…に対する)中傷,侮蔑(ぶべつ)《+『on』+『名』》 / …‘の'中傷文を書く(発表する)
